dateTime,ActivityStartTime/TimeZoneCode,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,USGSPCode,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode
2001-05-29 11:06,PDT,"Chlorophyll a, corrected for pheophytin",,25.5,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-10 10:24,PDT,"Chlorophyll a, corrected for pheophytin",,40.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-04 12:52,PDT,"Chlorophyll a, corrected for pheophytin",,20.3,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-06-25 09:57,PDT,"Chlorophyll a, corrected for pheophytin",,54.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-08 10:15,PDT,"Chlorophyll a, corrected for pheophytin",,17,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-20 10:40,PDT,"Chlorophyll a, corrected for pheophytin",,46.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-04 10:48,PDT,"Chlorophyll a, corrected for pheophytin",,30,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-05-15 10:35,PDT,"Chlorophyll a, corrected for pheophytin",,27.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-13 10:20,PDT,"Chlorophyll a, corrected for pheophytin",,64.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-22 10:13,PDT,"Chlorophyll a, corrected for pheophytin",,11.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-05-21 10:26,PDT,"Chlorophyll a, corrected for pheophytin",,5.59,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-06 09:30,PDT,"Chlorophyll a, corrected for pheophytin",,35.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-06-18 10:24,PDT,"Chlorophyll a, corrected for pheophytin",,52.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-09 10:18,PDT,"Chlorophyll a, corrected for pheophytin",,41.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-06 11:50,PDT,"Chlorophyll a, corrected for pheophytin",,51.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-17 11:22,PDT,"Chlorophyll a, corrected for pheophytin",,20.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-13 13:00,PDT,"Chlorophyll a, corrected for pheophytin",,41.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-30 10:17,PDT,"Chlorophyll a, corrected for pheophytin",,40.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-05-07 09:45,PDT,"Chlorophyll a, corrected for pheophytin",,8.11,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-06-04 10:13,PDT,"Chlorophyll a, corrected for pheophytin",,36.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-20 10:54,PDT,"Chlorophyll a, corrected for pheophytin",,40.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-06-11 10:52,PDT,"Chlorophyll a, corrected for pheophytin",,26.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-17 10:17,PDT,"Chlorophyll a, corrected for pheophytin",,48.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-27 11:10,PDT,"Chlorophyll a, corrected for pheophytin",,30,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-02 09:35,PDT,"Chlorophyll a, corrected for pheophytin",,32.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-01 09:49,PDT,"Chlorophyll a, corrected for pheophytin",,19,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-11 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,12.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-10-15 10:33,PDT,"Chlorophyll a, corrected for pheophytin",,7.99,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-27 11:07,PDT,"Chlorophyll a, corrected for pheophytin",,10.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-08-30 13:07,PDT,"Chlorophyll a, corrected for pheophytin",,24,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-07-23 10:51,PDT,"Chlorophyll a, corrected for pheophytin",,22.5,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-04-30 10:40,PDT,"Chlorophyll a, corrected for pheophytin",,16.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2001-09-24 09:56,PDT,"Chlorophyll a, corrected for pheophytin",,45.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-09 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,14.1,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-06-03 10:08,PDT,"Chlorophyll a, corrected for pheophytin",,23.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-04 10:19,PDT,"Chlorophyll a, corrected for pheophytin",,13.2,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-16 10:47,PDT,"Chlorophyll a, corrected for pheophytin",,11.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-23 10:04,PDT,"Chlorophyll a, corrected for pheophytin",,8.29,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-07-15 10:31,PDT,"Chlorophyll a, corrected for pheophytin",,23.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-07-01 10:46,PDT,"Chlorophyll a, corrected for pheophytin",,12.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-10-07 10:43,PDT,"Chlorophyll a, corrected for pheophytin",,8.06,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-09-30 10:41,PDT,"Chlorophyll a, corrected for pheophytin",,13.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-07-22 10:58,PDT,"Chlorophyll a, corrected for pheophytin",,48.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-06-17 10:49,PDT,"Chlorophyll a, corrected for pheophytin",,34.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-05-28 11:05,PDT,"Chlorophyll a, corrected for pheophytin",,15.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-08-26 10:10,PDT,"Chlorophyll a, corrected for pheophytin",,4.34,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-07-29 09:57,PDT,"Chlorophyll a, corrected for pheophytin",,15.1,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-05-20 10:23,PDT,"Chlorophyll a, corrected for pheophytin",,11.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-06-10 11:11,PDT,"Chlorophyll a, corrected for pheophytin",,70.3,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-05-06 10:00,PDT,"Chlorophyll a, corrected for pheophytin",,13.7,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-10-28 10:34,PST,"Chlorophyll a, corrected for pheophytin",,7.24,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-05-13 09:53,PDT,"Chlorophyll a, corrected for pheophytin",,11.8,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-10-21 10:48,PDT,"Chlorophyll a, corrected for pheophytin",,6.72,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-08-12 10:30,PDT,"Chlorophyll a, corrected for pheophytin",,27.9,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-06-24 10:57,PDT,"Chlorophyll a, corrected for pheophytin",,24.4,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2002-10-14 11:14,PDT,"Chlorophyll a, corrected for pheophytin",,6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-09-29 10:32,PDT,"Chlorophyll a, corrected for pheophytin",,7.65,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-08-12 10:45,PDT,"Chlorophyll a, corrected for pheophytin",,5.98,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-09-08 10:44,PDT,"Chlorophyll a, corrected for pheophytin",,17.7,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-07-14 10:41,PDT,"Chlorophyll a, corrected for pheophytin",,11,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-08-04 10:18,PDT,"Chlorophyll a, corrected for pheophytin",,5.57,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-06-16 10:09,PDT,"Chlorophyll a, corrected for pheophytin",,34.1,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-05-27 10:14,PDT,"Chlorophyll a, corrected for pheophytin",,14.6,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-07-21 10:06,PDT,"Chlorophyll a, corrected for pheophytin",,8.35,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-10-13 10:28,PDT,"Chlorophyll a, corrected for pheophytin",,2.64,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-10-27 10:22,PST,"Chlorophyll a, corrected for pheophytin",,1.39,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-06-30 11:13,PDT,"Chlorophyll a, corrected for pheophytin",,64,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-10-06 10:33,PDT,"Chlorophyll a, corrected for pheophytin",,7.37,ug/l,32209,Lower Reporting Limit,0.2,ug/l
2003-08-25 10:52,PDT,"Chlorophyll a, corrected for pheophytin",,13,ug/l,32209,Lower Reporting Limit,0.2,ug/l
