dateTime,ActivityStartTime/TimeZoneCode,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodName,LaboratoryName,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode
2003-06-23 12:30,PDT,Chlorophyll a,,5.8,ug/l,,,"Aquatic Analysts, Inc, Milwaukie, OR",,,
2004-09-14 10:00,PDT,Chlorophyll a,,4.5,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-07-27 09:40,PDT,Chlorophyll a,,3.6,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-11-19 09:30,PST,Chlorophyll a,,0.7,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-08-16 11:50,PDT,Chlorophyll a,,4,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-10-19 13:20,PDT,Chlorophyll a,,0.8,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-05-25 12:00,PDT,Chlorophyll a,,1.8,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-12-16 11:20,PST,Chlorophyll a,,1,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2004-06-24 11:30,PDT,Chlorophyll a,,2.2,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2005-03-17 10:50,PST,Chlorophyll a,,4.2,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2005-04-14 13:30,PDT,Chlorophyll a,,1.1,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2005-01-18 13:30,PST,Chlorophyll a,,0.9,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2005-02-17 10:50,PST,Chlorophyll a,,1.5,ug/l,FL008,"Chlorophyll a,phyto,fluorometric","USGS-National Water Quality Lab, Denver, CO",Lower Reporting Limit,0.1,ug/l
2013-05-07 10:30,PDT,Chlorophyll a,,2.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-05-20 11:00,PDT,Chlorophyll a,,3.1,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-10-23 11:16,PDT,Chlorophyll a,,0.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-06-12 10:21,PDT,Chlorophyll a,,3.3,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-06-12 10:20,PDT,Chlorophyll a,,2.9,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
2013-07-09 10:30,PDT,Chlorophyll a,,9.4,ug/l,00050,"Plant pigments, sonication & 445",U.S. Geological Survey-Water Resources Discipline,,,
